Health Center Name,Operated By,Street Address,City,State,ZIP Code,Telephone Number,Website
Tapestry 360 Health - Lakeview,TAPESTRY 360 HEALTH,3154 N Clark St,Chicago,IL,60657-4437,773-296-7580,http://tap360health.org/
LCHC at Breakthrough Women's Center,LAWNDALE CHRISTIAN HEALTH CENTER,3330 W Carroll Ave,Chicago,IL,60624-2034,872-588-3000,http://www.lawndale.org
LCHC at Salvation Army Freedom Center,LAWNDALE CHRISTIAN HEALTH CENTER,825 N Christiana Ave Rm 042,Chicago,IL,60651-4110,872-588-3000,
PCC Clinic at The Boulevard,PCC COMMUNITY WELLNESS CENTER,3456 W Franklin Blvd,Chicago,IL,60624-1308,708-533-6013,http://www.pccwellness.org
LCHC at Breakthrough Men's Shelter,LAWNDALE CHRISTIAN HEALTH CENTER,402 N Saint Louis Ave,Chicago,IL,60624-1332,872-588-3000,http://www.lawndale.org
ACCESS Cabrini Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,3450 S Archer Ave,Chicago,IL,60608-6837,773-523-1000,http://www.accesscommunityhealth.net
LCHC at Homan Square,LAWNDALE CHRISTIAN HEALTH CENTER,3517 W Arthington St Side West,Chicago,IL,60624-4165,872-588-3000,http://www.lawndale.org
ACCESS Humboldt Park Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,3202 W North Ave,Chicago,IL,60647-4940,773-489-6333,http://www.accesscommunityhealth.net
Howard Brown Health Halsted,HOWARD BROWN HEALTH CENTER,3501 N Halsted St,Chicago,IL,60657-1832,773-388-1600,http://www.howardbrown.org
Esperanza Little Village,ESPERANZA HEALTH CENTERS,3059 W   26th St,Chicago,IL,60623-4131,773-932-2111,http://www.esperanzachicago.org
Erie Westside Health Center at Laura S. Ward Elementary,ERIE FAMILY HEALTH CENTER,646 N Lawndale Ave,Chicago,IL,60624-1254,312-666-3494,http://www.eriefamilyhealth.org
LCHC at Farragut Academy,LAWNDALE CHRISTIAN HEALTH CENTER,3256 W   24th St,CHICAGO,IL,60623-3217,872-588-3000,http://www.lawndale.org
ACCESS Madison Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,3800 W Madison St,Chicago,IL,60624-2334,773-826-6600,http://www.accesscommunityhealth.net
Howard Brown Health at La Casa Norte,HOWARD BROWN HEALTH CENTER,3533 W North Ave Ste 1,Chicago,IL,60647-7573,773-388-1600,
ACCESS Servicios Médicos La Villita,ACCESS COMMUNITY HEALTH NETWORK,3303 W   26th St,Chicago,IL,60623-4036,773-277-6589,http://www.accesscommunityhealth.net
ACCESS Paul and Mimi Francis Westside Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,3752 W   16th St,Chicago,IL,60623-2028,773-762-2435,http://www.accesscommunityhealth.net
Komed Holman Health Center,THE NEAR NORTH HEALTH SERVICE CORPORATION,4259 S Berkeley Ave,Chicago,IL,60653-3030,773-268-7600,http://www.nearnorthhealth.org
LCHC at 3745,LAWNDALE CHRISTIAN HEALTH CENTER,3745 W Ogden Ave,Chicago,IL,60623-2427,872-588-3183,http://lawndale.org
LCHC Health & Fitness - 3750,LAWNDALE CHRISTIAN HEALTH CENTER,3750 W Ogden Ave,Chicago,IL,60623-2426,872-588-3000,http://www.lawndale.org
LCHC Belle Whaley,LAWNDALE CHRISTIAN HEALTH CENTER,3812 W. OGDEN AVE,CHICAGO,IL,60623-2458,773-650-3200,http://www.lawndale.org
LCHC at the Gallery,LAWNDALE CHRISTIAN HEALTH CENTER,3824 W Ogden Ave Fl 1,Chicago,IL,60623-2458,872-588-3000,http://lawndale.org
Heartland Alliance Health - Uptown,Heartland Alliance Health,4009 N Broadway St,Chicago,IL,60613-2110,773-275-2586,
Howard Brown Health Counseling Center,HOWARD BROWN HEALTH CENTER,3948 N Sheridan Rd,Chicago,IL,60613-2935,773-388-1600,
Broadway Youth Center,HOWARD BROWN HEALTH CENTER,1023 W Irving Park Rd,Chicago,IL,60613-2913,773-388-1600,
Lawndale Christian Health Center Main Clinic,LAWNDALE CHRISTIAN HEALTH CENTER,3860 W Ogden Ave,Chicago,IL,60623-2460,773-843-3000,http://www.lawndale.org
LCHC at Hand-n-Hand,LAWNDALE CHRISTIAN HEALTH CENTER,4207 W Carroll Ave,Chicago,IL,60624-1704,872-588-3000,http://www.lawndale.org
LCHC Eye Clinic,LAWNDALE CHRISTIAN HEALTH CENTER,3851 W OGDEN AVE,CHICAGO,IL,60623-2459,872-588-3000,http://www.lawndale.org
Howard Brown Sheridan,HOWARD BROWN HEALTH CENTER,4025 N Sheridan Rd,Chicago,IL,60613-2010,773-388-1600,http://www.howardbrown.org
FFHC-Beethoven,"Friend Family Health Center, Inc.",25 W   47th St,Chicago,IL,60609-4627,773-702-0660,http://friendfhc.org
PrimeCare Hamlin,PRIMECARE COMMUNITY HEALTH INC,1920 N Hamlin,Chicago,IL,60647-3411,773-772-7202,
LCHC at 3910,LAWNDALE CHRISTIAN HEALTH CENTER,3910 W Ogden Ave,Chicago,IL,60623-2470,872-588-3000,http://www.lawndale.org
ACCESS Centro Médico,ACCESS COMMUNITY HEALTH NETWORK,3700 W   26th St,Chicago,IL,60623-3824,773-542-5203,http://www.accesscommunityhealth.net
PrimeCare Northwest,PRIMECARE COMMUNITY HEALTH INC,1649 N Pulaski Rd,Chicago,IL,60639-5207,773-278-6868,http://www.primecarechi.org
IWS Family Health Logan Square,INFANT WELFARE SOCIETY OF CHICAGO,3600 W FULLERTON AVE,CHICAGO,IL,60647-2319,773-782-2800,http://www.infantwelfare.org
ACCESS Booker Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,654 E   47th St,Chicago,IL,60653-4224,773-624-4800,http://www.accesscommunityhealth.net
Sunnyside Health Center,THE NEAR NORTH HEALTH SERVICE CORPORATION,4140 N Broadway St,Chicago,IL,60613-2121,312-337-1073,
UI Health Mile Square Health Center Back of the Yards Dental,University of Illinois,4634 S Bishop St,Chicago,IL,60609-3240,312-355-5645,http://hospital.uillinois.edu/patients-and-visitors/mile-square-federally-qualified-health-center
UNIVERSITY OF ILLINOIS MEDICAL CENTER - MILE SQUARE HEALTH CENTER AT BACK OF THE YARDS,University of Illinois,4630 S Bishop St,Chicago,IL,60609,312-996-2000,
Erie Lake View School Based Health Center,ERIE FAMILY HEALTH CENTER,4015 N Ashland Ave,Chicago,IL,60613-2593,312-666-3494,http://www.eriefamilyhealth.org
Razem Health Center,THE NEAR NORTH HEALTH SERVICE CORPORATION,2844 N Milwaukee Ave,Chicago,IL,60618-7401,312-337-1073,
Cottage View Health Center,THE NEAR NORTH HEALTH SERVICE CORPORATION,4829 South Cottage Grove,CHICAGO,IL,60615-1600,773-548-1170,http://www.nearnorthhealth.org
Children's Reception Center,AUNT MARTHA'S HEALTH & WELLNESS INC,5001 South Michigan Ave,Chicago,IL,60615-2112,877-692-8686,http://www.auntmarthas.org
"UNIVERSITY OF ILLINOIS MEDICAL CENTER, MILE SQUARE HEALTH CENTER, Davis Health and Wellness Center",University of Illinois,3050 W 39TH PL,CHICAGO,IL,60632-2402,312-413-3090,
FFHC-Ashland,"Friend Family Health Center, Inc.",4802 S Ashland Ave,Chicago,IL,60609-4233,773-376-9400,
PRIMECARE FULLERTON,PRIMECARE COMMUNITY HEALTH INC,3924 W Fullerton Ave,Chicago,IL,60647-2228,773-276-2229,
North/Kostner Health Center,THE NEAR NORTH HEALTH SERVICE CORPORATION,1520 N Kostner Ave,Chicago,IL,60651-1610,312-337-1073,http://www.nearnorthhealth.org
Reavis School Based Health Center,THE NEAR NORTH HEALTH SERVICE CORPORATION,834 E   50th St,Chicago,IL,60615-2620,773-535-1060,http://www.nearnorth.org
LCHC at Habilitative Systems,LAWNDALE CHRISTIAN HEALTH CENTER,415 S Kilpatrick Ave,Chicago,IL,60644-4923,872-588-3000,http://www.lawndale.org
Tapestry 360 Health - Wilson,TAPESTRY 360 HEALTH,845 W WILSON AVE,CHICAGO,IL,60640-5704,773-506-4283,http://tap360health.org/
Temporary Site -  Lakeshore Hotel Shelter,ESPERANZA HEALTH CENTERS,4900 S Lake Shore Dr,Chicago,IL,60615-3277,773-828-8270,
Tapestry 360 Health -Thresholds,TAPESTRY 360 HEALTH,4423 N Ravenswood Ave,Chicago,IL,60640-5802,773-572-5700,http://tap360health.org/
ACCESS Ashland Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,5159 S Ashland Ave,Chicago,IL,60609-4931,773-434-9216,http://www.accesscommunityhealth.net
ACCESS Grand Boulevard Health and Specialty Center,ACCESS COMMUNITY HEALTH NETWORK,5401 S Wentworth Ave Spc 5,Chicago,IL,60609-6300,773-288-6900,http://www.accesscommunityhealth.net
"UNIVERSITY OF ILLINOIS MEDICAL CENTER, MILE SQUARE HEALTH CENTER, CICERO",University of Illinois,4747-51 W Cermak Rd,Cicero,IL,60804-2508,312-996-2000,
LCHC at Primo Center for Women and Children,LAWNDALE CHRISTIAN HEALTH CENTER,4952 W Madison St,Chicago,IL,60644-3541,872-588-3000,
LCHC at Bobby E. Wright,LAWNDALE CHRISTIAN HEALTH CENTER,5002 W Madison St,Chicago,IL,60644-4127,872-588-3000,
Esperanza Brighton Park,ESPERANZA HEALTH CENTERS,4700 S California Ave,Chicago,IL,60632-2016,773-584-6200,
Esperanza Brighton Park Campus Expansion,ESPERANZA HEALTH CENTERS,4720 S California Ave,Chicago,IL,60632-2016,773-584-6200,http://www.esperanzachicago.org
ACCESS Austin Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,"4909 W. Division, Suite 508",Chicago,IL,60651,773-364-4600,http://www.accesscommunityhealth.net
Temporary Site – LCHC on Division,LAWNDALE CHRISTIAN HEALTH CENTER,"4909 W Division St, #503",Chicago,IL,60651-3161,872-588-3009,
Little Village Lawndale Community High School Campus,"ALIVIO MEDICAL CENTER, INC",3120 S Kostner Ave,Chicago,IL,60623-4842,773-254-1400,
Heartland Alliance Health - Englewood,Heartland Alliance Health,5501 S Halsted St,Chicago,IL,60621-2229,773-275-2586,
Friend Family Health Center - Mobile Dental,"Friend Family Health Center, Inc.",800 E 55th St,Chicago,IL,60615-4906,773-702-0600,http://www.friendhealth.org
Friend Family Health Center - Cottage Grove,"Friend Family Health Center, Inc.",800 E   55th St,Chicago,IL,60615-4906,773-702-0660,http://friendfhc.org
ACCESS Kedzie Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,3229-3243 W 47TH Place,Chicago,IL,60632-3011,773-254-6044,http://www.accesscommunityhealth.net
Howard Brown Health 55th Street,HOWARD BROWN HEALTH CENTER,1525 E 55th St Ste 201,Chicago,IL,60615-5582,773-388-1600,
Howard Brown Health 55th Street,HOWARD BROWN HEALTH CENTER,5500 S Lake Park Ave Fl 1,Chicago,IL,60637-1917,773-388-1600,
ACCESS Hawthorne Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,3040 S Cicero Ave,Cicero,IL,60804-3638,708-780-9777,http://www.accesscommunityhealth.net
PCC Dental and Specialty Care Center,PCC COMMUNITY WELLNESS CENTER,5425 W Lake St,Chicago,IL,60644-2342,773-413-1920,http://www.pccwellness.org
Howard Brown Health South Side Mobile,HOWARD BROWN HEALTH CENTER,5837 S Maryland Ave,Chicago,IL,60637-1463,773-388-1600,
PCC Austin Family Health Center,PCC COMMUNITY WELLNESS CENTER,5461 W Lake St,Chicago,IL,60644-2343,773-378-3347,http://www.pccwellness.org/
Tapestry 360 Health - Lincoln Square,TAPESTRY 360 HEALTH,2645 W. Lawrence,Chicago,IL,60625-2944,773-275-1680,http://tap360health.org/
Erie Amundsen School Based Health Center,ERIE FAMILY HEALTH CENTER,5110 N Damen Ave,Chicago,IL,60625-1317,312-666-3494,http://www.eriefamilyhealth.org
Erie Helping Hands Health Center,ERIE FAMILY HEALTH CENTER,4747 N Kedzie Ave,Chicago,IL,60625-4420,312-666-3494,http://www.eriefamilyhealth.org
Tapestry 360 Health - Roosevelt High School,TAPESTRY 360 HEALTH,3436 W Wilson Ave,Chicago,IL,60625-5318,872-268-7545,http://tap360health.org/
The Burnham at Woodlawn Park,"Friend Family Health Center, Inc.",6134 S Cottage Grove Ave,Chicago,IL,60637-2565,773-702-0660,
FFHC-Western,"Friend Family Health Center, Inc.",5843 S Western Ave,Chicago,IL,60636-1526,773-434-8600,http://friendfhc.org
Howard Brown Health 63rd Street,HOWARD BROWN HEALTH CENTER,"641 W. 63rd Street, 1st FL (East)",Chicago,IL,60621-2032,773-388-1600,
"Howard Brown Health 63rd Street, Oral Health Services",HOWARD BROWN HEALTH CENTER,641 W 63rd St Bsmt,Chicago,IL,60621-2032,773-388-1600,
UNIVERSITY OF ILLINOIS - MILE SQUARE HEALTH CENTER ENGLEWOOD,University of Illinois,"641 W 63RD ST, 1st FL Suite A",CHICAGO,IL,60621-2032,312-996-2000,
PCC Salud Family Health Center,PCC COMMUNITY WELLNESS CENTER,5359 W Fullerton Ave,Chicago,IL,60639-1450,773-836-2785,http://www.pccwellness.org
Friend Health - 6250,"Friend Family Health Center, Inc.",6250 S Cottage Grove Ave,Chicago,IL,60637-2530,312-682-6110,
Tapestry 360 Health - Hibbard,TAPESTRY 360 HEALTH,3244 W Ainslie St,Chicago,IL,60625-5018,773-336-6100,http://www.heartlandhealthcenters.org
Erie Foster Avenue Health Center,ERIE FAMILY HEALTH CENTER,5215 N. California Avenue STE F700,Chicago,IL,60625,312-666-3494,http://www.eriefamilyhealth.org
PCC Lake Street Family Health Center,PCC COMMUNITY WELLNESS CENTER,14 Lake St,Oak Park,IL,60302-2606,708-383-0113,http://www.pccwellness.org
PCC Administrative Office II,PCC COMMUNITY WELLNESS CENTER,20 Lake St,Oak Park,IL,60302-2606,708-383-0113,http://www.pccwellness.org
PCC Dr. Tong Health Center,PCC COMMUNITY WELLNESS CENTER,1 Erie Ct STE 6040,Oak Park,IL,60302-2510,708-386-1301,http://www.pccwellness.org
PCC Dr. Burdick Family Health Center,PCC COMMUNITY WELLNESS CENTER,1 Erie Ct.  STE 6160,Oak Park,IL,60302-2510,708-383-0113,http://www.pccwellness.org/
PCC Community Wellness Center at West Suburban,PCC COMMUNITY WELLNESS CENTER,1 Erie Ct Ste 7120,Oak Park,IL,60302-2510,773-537-0020,http://www.pccwellness.org
PCC Walk-In Wellness Center at West Suburban Medical Center,PCC COMMUNITY WELLNESS CENTER,3 Erie Ct STE 1300,Oak Park,IL,60302-2519,708-406-3929,
WEST SUBURBAN MEDICAL CENTER,PCC COMMUNITY WELLNESS CENTER,3 Erie Ct,Oak Park,IL,60302-2519,708-383-0113,http://westsuburbanmedicalcenter.reshealth.org/sub_wsmc/default.cfm
FFHC-Woodlawn,"Friend Family Health Center, Inc.",1522 E 63rd St,Chicago,IL,60637-2921,773-702-0660,
Tapestry 360 Health - Albany Park,TAPESTRY 360 HEALTH,3737 W LAWRENCE AVE,CHICAGO,IL,60625-5746,773-366-7777,http://www.heartlandhealthcenters.org/
Tapestry 360 Health - Senn High School,TAPESTRY 360 HEALTH,5900 N. GLENWOOD,CHICAGO,IL,60660-3312,773-751-1860,http://tap360health.org/
LCHC at Archer Avenue,LAWNDALE CHRISTIAN HEALTH CENTER,5122 S Archer Ave,Chicago,IL,60632-4508,872-588-3000,http://www.lawndale.org
Esperanza Academy for Global Citizenship,ESPERANZA HEALTH CENTERS,4647 W 47th St RM 200,Chicago,IL,60632-4847,773-584-6200,
Esperanza at Cultivate Collective,ESPERANZA HEALTH CENTERS,4350 S Laporte Ave,Chicago,IL,60638,773-584-6200,
PCC South Family Health Center,PCC COMMUNITY WELLNESS CENTER,6201 Roosevelt Rd,Berwyn,IL,60402-1108,708-386-0845,http://www.pccwellness.org
ACCESS Southwest Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,4839 W   47th St,Chicago,IL,60638-2039,773-735-2345,http://www.accesscommunityhealth.net
Esperanza Academy for Global Citizenship Annex,ESPERANZA HEALTH CENTERS,4941 W 46th St RM 100,Chicago,IL,60638-2023,773-584-6200,
IMAN Mobile  Health  Unit,Inner -City Muslim Action Network,2744 W 63rd St,Chicago,IL,60629-2343,773-434-4626,http://www.imancentral.org
IMAN-Main Site,Inner -City Muslim Action Network,2744 W 63rd St,Chicago,IL,60629-2343,773-434-4626,http://www.imancentral.org/
IMAN - Youth and Family Health Center,Inner -City Muslim Action Network,2749 W 63rd St,Chicago,IL,60629-2342,773-434-4626,http://www.imancentral.org/
Mile Square Englewood Health and Wellness Center,University of Illinois,6835 S Normal Blvd Rm H-102,Chicago,IL,60621-2535,312-355-5801,
Beloved Community Family Wellness Center,Beloved Community Family Wellness Center,6821 S. Halsted,Chicago,IL,60621-1833,773-651-3629,http://www.bcfwc.org
Beloved Community Family Wellness Center Halsted Dental Site Suite 1A,Beloved Community Family Wellness Center,6853 S Halsted St Ste 1A,Chicago,IL,60621-1867,773-651-3629,http://www.bcfwc.org
FFHC-Pulaski,"Friend Family Health Center, Inc.",5635 S. Pulaski,Chicago,IL,60629-4438,773-585-3900,http://friendfhc.org
PrimeCare Belmont Cragin,PRIMECARE COMMUNITY HEALTH INC,5635 West Belmont Avenue,Chicago,IL,60634-4384,312-633-5841,http://www.primecarechi.org
AHS Family Health Center,ASIAN HUMAN SERVICES FAMILY HEALTH CENTER,2501 W Peterson Ave,Chicago,IL,60659-4108,773-761-0300,http://www.ahschicago.org/health_center.htm
Chicago Family Health Center- Chicago Lawn,CHICAGO FAMILY HEALTH CENTER INC,3223 W 63rd St,Chicago,IL,60629-3333,773-768-5000,http://www.chicagofamilyhealth.org
Tapestry 360 Health - Devon,TAPESTRY 360 HEALTH,1300 W Devon Ave,Chicago,IL,60660-1302,773-751-7850,
ACCESS Brickyard Family Health Center,ACCESS COMMUNITY HEALTH NETWORK,6020 W Diversey Ave Bldg West,Chicago,IL,60639-1108,773-237-5544,
Hamdard Health Rogers Park,HAMDARD HEALTH ALLIANCE,1542 W Devon Ave,Chicago,IL,60660-1344,773-465-4600,http://www.hamdardcenter.org
Alivio's Walk In Wellness Center at Berwyn,"ALIVIO MEDICAL CENTER, INC","6447 West Cermak Road, Suite 100",Berwyn,IL,60402,773-254-1400,
Alivio Medical Center at Berwyn,"ALIVIO MEDICAL CENTER, INC",6447 Cermak Rd,Berwyn,IL,60402-2311,773-254-1400,http://www.aliviomedicalcenter.org
Esperanza Marquette,ESPERANZA HEALTH CENTERS,6550 S Richmond St,Chicago,IL,60629-2821,773-584-6200,http://www.esperanzachicago.org
Howard Brown Health Center-Clark,HOWARD BROWN HEALTH CENTER,6500 N Clark St,Chicago,IL,60626-4097,773-388-1600,
AHS Family Health Center,ASIAN HUMAN SERVICES FAMILY HEALTH CENTER,6301 N Western Ave,Chicago,IL,60659-2009,800-597-5077,
ACCESS Located at Holy Cross,ACCESS COMMUNITY HEALTH NETWORK,2701 W 68th St  3-South,Chicago,IL,60629-1813,866-882-2237,http://www.accesscommunityhealth.net
University of Illinois Medical Center - Mile Square Health Center at South Shore,University of Illinois,7037 S Stony Island Ave,Chicago,IL,60649-1905,312-996-2000,
ACCESS at Gary Comer Youth Center,ACCESS COMMUNITY HEALTH NETWORK,7200 S Ingleside Ave,Chicago,IL,60619-1254,773-324-6942,http://www.accesscommunityhealth.net
Tapestry 360 Health - Sullivan,TAPESTRY 360 HEALTH,6631 N Bosworth Ave,Chicago,IL,60626-4223,312-571-2590,http://tap360health.org
Tapestry 360 Health - Kilmer,TAPESTRY 360 HEALTH,6700 N Greenview Ave,Chicago,IL,60626-4208,773-366-7704,http://tap360health.org/
PCC Community Wellness Center at Steinmetz,PCC COMMUNITY WELLNESS CENTER,"3030 N MOBILE AVE, DOOR #8",CHICAGO,IL,60634-4041,708-524-7686,http://www.pccwellness.org
Esperanza at 63rd,ESPERANZA HEALTH CENTERS,4058 W 63rd St,Chicago,IL,60629-4639,773-584-6200,
Alivio Medical Center Dental at 63rd St.,"ALIVIO MEDICAL CENTER, INC",4255 W 63rd St,Chicago,IL,60629-5041,773-254-1400,http://www.aliviomedicalcenter.org
Alivio Medical Center Dental at 63rd St.,"ALIVIO MEDICAL CENTER, INC",4255 W 63rd St,Chicago,IL,60629-5041,773-254-1400,
Tapestry 360 Health - Trilogy,TAPESTRY 360 HEALTH,1400 W Greenleaf Ave,Chicago,IL,60626-2805,773-508-6135,http://tap360health.org/
Midwest Refuah Health Center - Admin/Medical,MIDWEST REFUAH HEALTH CENTER,"6374 N Lincoln Ave, Ste 204",Chicago,IL,60659-1219,872-270-5999,http://www.midwestrefuahhealthcenter.org
Midwest Refuah Health Center- Behavioral Health,MIDWEST REFUAH HEALTH CENTER,"6374 N Lincoln Ave, Ste 305",Chicago,IL,60659-1283,872-270-5999,http://www.https://www.midwestrefuahhealthcenter.org
UI Health Mile Square Health Center Primary and Immediate Care Center,University of Illinois,839 W 79th Street  FL 2,Chicago,IL,60620-2501,312-996-2000,http://hospital.uillinois.edu/patients-and-visitors/mile-square-federally-qualified-health-center
Tapestry 360 Health - Touhy,TAPESTRY 360 HEALTH,2200 W Touhy,Chicago,IL,60645-3412,773-751-1875,http://tap360health.org/
Temporary Site - Heartland International Health Centers Temporary Site,"BLUE RIDGE COMMUNITY HEALTH SERVICES, INC.",2424 W Touhy Ave,Chicago,IL,60645-3310,828-233-2284,
